,idx
0,3
1,6
2,24
3,25
4,27
5,47
6,53
7,64
8,72
9,74
10,75
11,79
12,86
13,93
14,94
15,95
16,98
17,102
18,104
19,105
20,108
21,113
22,123
23,124
24,125
25,128
26,129
27,130
28,131
29,133
30,137
31,140
32,147
33,148
34,149
35,152
36,153
37,158
38,160
39,162
40,166
41,170
42,171
43,173
44,179
45,181
46,182
47,189
48,191
49,195
50,203
51,205
52,207
53,208
54,210
55,212
56,219
57,221
58,222
59,223
60,224
61,225
62,228
63,231
64,232
65,234
66,244
67,245
68,260
69,263
70,268
71,271
72,273
73,274
74,281
75,282
76,286
77,288
78,295
79,304
80,311
81,312
82,319
83,321
84,322
85,324
86,328
87,329
88,330
89,331
90,332
91,333
92,338
93,342
94,348
95,357
96,358
97,364
98,367
99,368
100,372
101,379
102,382
103,386
104,388
105,400
106,401
107,403
108,416
109,424
110,425
111,436
112,437
113,440
114,445
115,447
116,448
117,455
118,462
119,473
120,474
121,487
122,489
123,491
124,493
125,495
126,502
127,507
128,508
129,510
130,514
131,519
132,521
133,527
134,531
135,533
136,534
137,535
138,536
139,537
140,543
141,544
142,545
143,546
144,549
145,550
146,556
147,563
148,567
149,568
150,575
151,577
152,578
153,579
154,581
155,584
156,591
157,592
158,595
159,602
160,613
161,615
162,616
163,622
164,623
165,630
166,637
167,645
168,648
169,649
170,653
171,654
172,657
173,658
174,659
175,664
176,665
177,673
178,675
179,682
180,683
181,685
182,691
183,692
184,695
185,700
186,703
187,710
188,712
189,716
190,718
191,720
192,743
193,745
194,746
195,753
196,759
197,772
198,778
199,783
200,786
201,787
202,788
203,790
204,795
205,798
206,804
207,814
208,819
209,822
210,840
211,841
212,842
213,857
214,858
215,859
216,860
217,865
218,866
219,869
220,871
221,872
222,874
223,877
224,879
225,880
226,883
227,885
228,892
229,897
230,900
231,903
232,908
233,909
234,918
235,921
236,922
237,934
238,938
239,940
240,943
241,945
242,951
243,952
244,954
245,959
246,960
247,962
248,966
249,967
250,968
251,973
252,979
253,980
254,981
255,982
256,984
257,987
258,988
259,999
260,1000
261,1001
262,1003
263,1015
264,1021
265,1023
266,1026
267,1027
268,1039
269,1046
270,1047
271,1049
272,1055
273,1056
274,1063
275,1070
276,1071
277,1078
278,1079
279,1084
280,1085
281,1087
282,1094
283,1097
284,1100
285,1104
286,1110
287,1119
288,1121
289,1123
290,1124
291,1126
292,1132
293,1133
294,1139
295,1142
296,1144
297,1145
298,1147
299,1148
300,1149
301,1151
302,1154
303,1158
304,1159
305,1160
306,1162
307,1165
308,1166
309,1167
310,1169
311,1188
312,1194
313,1195
314,1198
315,1201
316,1204
317,1210
318,1211
319,1221
320,1231
321,1232
322,1233
323,1239
324,1249
325,1254
326,1259
327,1260
328,1261
329,1265
330,1268
331,1274
332,1278
333,1282
334,1283
335,1293
336,1299
337,1300
338,1308
339,1312
340,1321
341,1328
342,1341
343,1342
344,1346
345,1355
346,1361
347,1367
348,1368
349,1374
350,1376
351,1377
352,1397
353,1398
354,1404
355,1409
356,1420
357,1421
358,1428
359,1432
360,1437
361,1440
362,1442
363,1455
364,1456
365,1463
366,1464
367,1467
368,1468
369,1469
370,1471
371,1475
372,1478
373,1483
374,1487
375,1491
376,1494
377,1495
378,1503
379,1504
380,1508
381,1524
382,1527
383,1540
384,1541
385,1542
386,1543
387,1550
388,1554
389,1555
390,1556
391,1559
392,1570
393,1571
394,1573
395,1583
396,1584
397,1593
398,1594
399,1605
400,1612
401,1617
402,1618
403,1626
404,1630
405,1642
406,1644
407,1649
408,1655
409,1656
410,1672
411,1675
412,1676
413,1679
414,1683
415,1684
416,1686
417,1696
418,1708
419,1715
420,1721
421,1723
422,1728
423,1734
424,1738
425,1739
426,1741
427,1743
428,1746
429,1747
430,1748
431,1750
432,1752
433,1753
434,1760
435,1764
436,1775
437,1785
438,1795
439,1801
440,1802
441,1803
442,1805
443,1812
444,1816
445,1818
446,1819
447,1821
448,1831
449,1833
450,1842
451,1843
452,1850
453,1853
454,1854
455,1864
456,1867
457,1873
458,1885
459,1886
460,1888
461,1890
462,1905
463,1910
464,1917
465,1920
466,1925
467,1926
468,1929
469,1934
470,1935
471,1936
472,1937
473,1938
474,1939
475,1949
476,1953
477,1964
478,1970
479,1974
480,1975
481,1976
482,1979
483,1983
484,1984
485,1985
486,1986
487,1990
488,1991
489,1994
490,2002
491,2004
492,2005
493,2007
494,2011
495,2016
496,2017
497,2019
498,2033
499,2035
500,2038
501,2052
502,2054
503,2056
504,2057
505,2059
506,2079
507,2082
508,2086
509,2087
510,2090
511,2100
512,2115
513,2117
514,2119
515,2120
516,2125
517,2127
518,2128
519,2132
520,2133
521,2136
522,2142
523,2145
524,2146
525,2148
526,2150
527,2151
528,2160
529,2170
530,2171
531,2173
532,2179
533,2181
534,2188
535,2200
536,2203
537,2205
538,2209
539,2214
540,2215
541,2217
542,2219
543,2220
544,2221
545,2225
546,2230
547,2231
548,2236
549,2239
550,2246
551,2254
552,2256
553,2257
554,2258
555,2263
556,2266
557,2267
558,2269
559,2274
560,2275
561,2279
562,2285
563,2286
564,2289
565,2293
566,2302
567,2313
568,2323
569,2338
570,2340
571,2341
572,2344
573,2345
574,2346
575,2347
576,2351
577,2352
578,2354
579,2356
580,2357
581,2361
582,2372
583,2385
584,2398
585,2399
586,2402
587,2403
588,2404
589,2405
590,2411
591,2422
592,2426
593,2429
594,2434
595,2435
596,2437
597,2438
598,2441
599,2442
600,2449
601,2454
602,2455
603,2456
604,2464
605,2465
606,2475
607,2485
608,2486
609,2493
610,2496
611,2499
612,2501
613,2507
614,2512
615,2525
616,2526
617,2531
618,2532
619,2533
620,2543
621,2548
622,2549
623,2552
624,2554
625,2555
626,2557
627,2563
628,2566
629,2569
630,2574
631,2577
632,2580
633,2613
634,2616
635,2620
636,2626
637,2634
638,2642
639,2645
640,2655
641,2656
642,2665
643,2666
644,2669
645,2670
646,2671
647,2673
648,2676
649,2692
650,2708
651,2719
652,2720
653,2725
654,2727
655,2731
656,2734
657,2737
658,2738
659,2739
660,2746
661,2749
662,2751
663,2757
664,2760
665,2771
666,2777
667,2782
668,2783
669,2785
670,2786
671,2805
672,2809
673,2813
674,2822
675,2824
676,2827
677,2828
678,2835
679,2850
680,2854
681,2855
682,2860
683,2862
684,2863
685,2864
686,2865
687,2866
688,2872
689,2873
690,2881
691,2883
692,2884
693,2890
694,2896
695,2898
696,2905
697,2909
698,2920
699,2921
700,2929
701,2935
702,2936
703,2937
704,2939
705,2951
706,2955
707,2957
708,2958
709,2959
710,2963
711,2965
712,2968
713,2970
714,2972
715,2973
716,2975
717,2977
718,2981
719,2983
720,2990
721,2991
722,2993
723,2995
724,2996
725,3003
726,3004
727,3005
728,3009
729,3014
730,3015
731,3021
732,3023
733,3024
734,3025
735,3026
736,3027
737,3028
738,3031
739,3041
740,3055
741,3056
742,3065
743,3066
744,3068
745,3070
746,3074
747,3075
748,3077
749,3082
750,3085
751,3088
752,3093
753,3094
754,3095
755,3102
756,3116
757,3122
758,3129
759,3130
760,3134
761,3138
762,3150
763,3152
764,3153
765,3155
766,3159
767,3162
768,3164
769,3165
770,3167
771,3192
772,3209
773,3210
774,3214
775,3216
776,3218
777,3219
778,3226
779,3227
780,3228
781,3232
782,3234
783,3235
784,3237
785,3240
786,3253
787,3254
788,3267
789,3270
790,3271
791,3272
792,3274
793,3276
794,3281
795,3289
796,3290
797,3291
798,3292
799,3297
800,3299
801,3300
802,3302
803,3309
804,3324
805,3325
806,3326
807,3327
808,3328
809,3337
810,3357
811,3364
812,3368
813,3369
814,3371
815,3372
816,3373
817,3386
818,3387
819,3388
820,3390
821,3394
822,3395
823,3396
824,3398
825,3403
826,3404
827,3405
828,3407
829,3414
830,3416
831,3417
832,3422
833,3426
834,3427
835,3428
836,3440
837,3441
838,3443
839,3444
840,3459
841,3465
842,3466
843,3467
844,3471
845,3473
846,3493
847,3504
848,3510
849,3511
850,3514
851,3515
852,3516
853,3517
854,3518
855,3520
856,3521
857,3530
858,3533
859,3536
860,3545
861,3546
862,3568
863,3574
864,3579
865,3580
866,3582
867,3584
868,3587
869,3601
870,3606
871,3609
872,3610
873,3611
874,3612
875,3614
876,3617
877,3618
878,3622
879,3625
880,3627
881,3631
882,3633
883,3634
884,3636
885,3638
886,3640
887,3641
888,3644
889,3647
890,3666
891,3667
892,3673
893,3679
894,3683
895,3687
896,3689
897,3691
898,3693
899,3704
900,3707
901,3708
902,3712
903,3714
904,3715
905,3716
906,3717
907,3725
908,3729
909,3730
910,3732
911,3733
912,3739
913,3740
914,3741
915,3748
916,3756
917,3759
918,3760
919,3762
920,3764
921,3775
922,3778
923,3784
924,3785
925,3786
926,3787
927,3788
928,3789
929,3790
930,3792
931,3793
932,3794
933,3795
934,3798
935,3799
936,3801
937,3802
938,3805
939,3813
940,3814
941,3815
942,3816
943,3817
944,3821
945,3822
946,3828
947,3839
948,3840
949,3854
950,3855
951,3856
952,3859
953,3862
954,3870
955,3873
956,3874
957,3875
958,3878
959,3882
960,3887
961,3888
962,3890
963,3893
964,3894
965,3906
966,3907
967,3921
968,3923
969,3932
970,3935
971,3940
972,3941
973,3944
974,3945
975,3955
976,3958
977,3959
978,3967
979,3983
980,3984
981,3985
982,3986
983,3988
984,3991
985,3992
986,3993
987,3997
988,4004
989,4006
990,4007
991,4014
992,4015
993,4022
994,4027
