,idx
672,4203
673,4214
674,4219
675,4220
676,4233
677,4234
678,4237
679,4242
680,4251
681,4277
682,4287
683,4289
684,4297
685,4300
686,4327
687,4328
688,4344
689,4345
690,4346
691,4360
692,4361
693,4371
694,4385
695,4397
696,4398
697,4407
698,4408
699,4411
700,4412
701,4413
702,4414
703,4433
704,4469
705,4470
706,4471
707,4472
708,4518
709,4520
710,4521
711,4524
712,4525
713,4526
714,4527
715,4528
716,4531
717,4532
718,4533
719,4534
720,4536
721,4537
722,4538
723,4543
724,4544
725,4545
726,4546
727,4547
728,4549
729,4550
730,4551
731,4552
732,4554
733,4570
734,4571
735,4575
736,4579
737,4598
738,4619
739,4625
740,4635
741,4636
742,4637
743,4662
744,4684
745,4710
746,4711
747,4729
748,4742
749,4769
750,4771
751,4800
752,4803
753,4808
754,4809
755,4810
756,4811
757,4815
758,4819
759,4820
760,4821
761,4824
762,4825
763,4826
764,4828
765,4835
766,4836
767,4838
768,4839
769,4840
770,4841
771,4842
772,4843
773,4844
774,4845
775,4849
776,4853
777,4865
778,4870
779,4872
780,4873
781,4888
782,4896
783,4908
784,4914
785,4917
786,4918
787,4922
788,4926
789,4927
790,4936
791,4938
792,4939
793,4941
794,4942
795,4943
796,4948
797,4950
798,4953
799,4955
800,4956
801,4957
802,4959
803,4963
804,4969
805,4970
806,4980
807,4981
808,4983
809,4987
810,4990
811,4992
812,4996
813,5009
814,5010
815,5032
816,5037
817,5042
818,5057
819,5071
820,5086
821,5087
822,5093
823,5094
824,5095
825,5096
826,5110
827,5114
828,5119
829,5124
830,5139
831,5154
832,5156
833,5157
834,5158
835,5164
836,5169
837,5173
838,5177
839,5178
840,5181
841,5186
842,5187
843,5192
844,5209
845,5210
846,5214
847,5218
848,5220
849,5223
850,5226
851,5239
852,5252
853,5271
854,5275
855,5276
856,5279
857,5330
858,5337
859,5353
860,5359
861,5376
862,5377
863,5387
864,5388
865,5392
866,5394
867,5404
868,5412
869,5417
870,5423
871,5424
872,5432
873,5465
874,5467
875,5473
876,5482
877,5484
878,5493
879,5499
880,5509
881,5517
882,5522
883,5535
884,5536
885,5563
886,5572
887,5574
888,5577
889,5578
890,5580
891,5585
892,5586
893,5589
894,5594
895,5596
896,5603
897,5604
898,5620
899,5621
900,5629
901,5645
902,5656
903,5658
904,5681
905,5682
906,5701
907,5712
908,5723
909,5725
910,5729
911,5730
912,5736
913,5752
914,5764
915,5771
916,5776
917,5777
918,5780
919,5783
920,5805
921,5807
922,5823
923,5825
924,5826
925,5827
926,5831
927,5859
928,5862
929,5866
930,5868
931,5870
932,5878
933,5895
934,5903
935,5920
936,5921
937,5926
938,5927
939,5928
940,5931
941,5934
942,5935
943,5940
944,5950
945,5953
946,5956
947,5957
948,5958
949,5960
950,5969
951,5970
952,5975
953,5987
954,5992
955,5994
956,5995
957,5997
958,5998
959,5999
960,6000
961,6011
962,6027
963,6035
964,6058
965,6063
966,6064
967,6065
968,6069
969,6073
970,6074
971,6087
972,6093
973,6095
974,6100
975,6103
976,6118
977,6133
978,6134
979,6135
980,6136
981,6137
982,6138
983,6139
984,6163
985,6184
986,6187
987,6189
988,6190
989,6213
990,6214
991,6216
992,6217
993,6218
994,6248
995,6258
996,6261
997,6262
998,6276
999,6277
1000,6278
1001,6279
1002,6280
1003,6281
1004,6282
1005,6283
1006,6284
1007,6285
1008,6286
1009,6288
1010,6289
1011,6290
1012,6291
1013,6327
1014,6328
1015,6355
1016,6364
1017,6390
1018,6391
1019,6392
1020,6419
1021,6427
1022,6428
1023,6429
1024,6431
1025,6432
1026,6433
1027,6434
1028,6435
1029,6436
1030,6437
1031,6438
1032,6439
1033,6440
1034,6441
1035,6442
1036,6443
1037,6444
1038,6445
1039,6446
1040,6447
1041,6448
1042,6449
1043,6450
1044,6451
1045,6452
1046,6453
1047,6454
1048,6455
1049,6456
1050,6469
1051,6470
1052,6477
1053,6481
1054,6486
1055,6487
1056,6492
1057,6498
1058,6499
1059,6522
1060,6523
1061,6525
1062,6526
1063,6528
1064,6539
1065,6542
1066,6543
1067,6573
1068,6588
1069,6601
1070,6602
1071,6605
1072,6606
1073,6614
1074,6647
1075,6648
1076,6652
1077,6654
1078,6684
1079,6689
1080,6709
1081,6737
1082,6761
1083,6766
1084,6815
1085,6817
1086,6829
1087,6840
1088,6871
1089,6876
1090,6877
1091,6883
1092,6886
1093,6906
