,idx
0,2
1,4
2,9
3,12
4,29
5,35
6,36
7,40
8,41
9,43
10,44
11,45
12,46
13,48
14,51
15,52
16,53
17,55
18,57
19,60
20,66
21,67
22,68
23,69
24,70
25,71
26,72
27,73
28,74
29,75
30,76
31,77
32,79
33,80
34,81
35,85
36,88
37,89
38,91
39,97
40,101
41,109
42,110
43,111
44,112
45,113
46,121
47,136
48,137
49,138
50,139
51,143
52,144
53,148
54,149
55,150
56,152
57,157
58,158
59,162
60,164
61,173
62,177
63,180
64,181
65,182
66,187
67,188
68,190
69,191
70,193
71,198
72,200
73,201
74,202
75,205
76,206
77,207
78,209
79,212
80,213
81,216
82,219
83,225
84,226
85,229
86,230
87,231
88,232
89,238
90,243
91,244
92,245
93,246
94,248
95,249
96,257
97,261
98,262
99,267
100,268
101,273
102,274
103,277
104,288
105,291
106,294
107,296
108,298
109,299
110,300
111,303
112,304
113,311
114,321
115,322
116,324
117,325
118,328
119,331
120,334
121,336
122,337
123,338
124,346
125,349
126,351
127,354
128,356
129,357
130,363
131,386
132,389
133,390
134,391
135,392
136,393
137,398
138,400
139,404
140,405
141,413
142,414
143,418
144,420
145,422
146,424
147,425
148,428
149,429
150,431
151,445
152,448
153,449
154,450
155,453
156,456
157,467
158,476
159,480
160,487
161,489
162,493
163,496
164,501
165,503
166,509
167,510
168,515
169,516
170,517
171,518
172,525
173,528
174,529
175,531
176,533
177,536
178,537
179,538
180,541
181,543
182,545
183,546
184,552
185,553
186,558
187,561
188,564
189,566
190,567
191,568
192,571
193,574
194,576
195,577
196,585
197,587
198,595
199,605
200,610
201,613
202,615
203,618
204,619
205,623
206,628
207,630
208,631
209,636
210,637
211,640
212,643
213,645
214,649
215,652
216,654
217,657
218,658
219,660
220,663
221,664
222,667
223,669
224,670
225,671
226,672
227,673
228,675
229,677
230,680
231,681
232,682
233,688
234,691
235,699
236,703
237,708
238,710
239,716
240,720
241,724
242,725
243,732
244,735
245,739
246,742
247,745
248,746
249,748
250,750
251,753
252,757
253,761
254,762
255,763
256,766
257,769
258,770
259,771
260,772
261,780
262,782
263,785
264,786
265,787
266,790
267,791
268,792
269,793
270,794
271,796
272,797
273,798
274,807
275,808
276,810
277,811
278,813
279,816
280,817
281,822
282,823
283,824
284,826
285,827
286,832
287,834
288,838
289,839
290,843
291,846
292,847
293,848
294,855
295,858
296,859
297,860
298,867
299,868
300,874
301,875
302,877
303,880
304,881
305,887
306,892
307,893
308,900
309,901
310,912
311,913
312,914
313,917
314,918
315,921
316,922
317,923
318,927
319,928
320,929
321,932
322,936
323,938
324,940
325,945
326,946
327,948
328,952
329,954
330,958
331,959
332,961
333,962
334,964
335,966
336,967
337,968
338,969
339,971
340,973
341,974
342,977
343,978
344,981
345,986
346,989
347,990
348,994
349,996
350,1002
351,1003
352,1004
353,1015
354,1017
355,1018
356,1021
357,1023
358,1026
359,1027
360,1030
361,1031
362,1034
363,1057
364,1064
365,1067
366,1070
367,1072
368,1074
369,1076
370,1079
371,1084
372,1085
373,1092
374,1094
375,1096
376,1097
377,1100
378,1104
379,1106
380,1108
381,1110
382,1113
383,1121
384,1134
385,1135
386,1136
387,1137
388,1142
389,1146
390,1147
391,1151
392,1152
393,1155
394,1161
395,1162
396,1165
397,1166
398,1167
399,1170
400,1172
401,1175
402,1181
403,1185
404,1187
405,1188
406,1190
407,1193
408,1194
409,1195
410,1204
411,1211
412,1212
413,1220
414,1221
415,1222
416,1227
417,1234
418,1236
419,1238
420,1239
421,1240
422,1241
423,1243
424,1260
425,1263
426,1265
427,1274
428,1282
429,1283
430,1284
431,1285
432,1287
433,1289
434,1293
435,1302
436,1305
437,1308
438,1315
439,1321
440,1325
441,1326
442,1328
443,1330
444,1334
445,1347
446,1350
447,1355
448,1360
449,1362
450,1363
451,1364
452,1366
453,1367
454,1368
455,1369
456,1373
457,1374
458,1375
459,1379
460,1380
461,1381
462,1386
463,1389
464,1394
465,1395
466,1397
467,1398
468,1399
469,1402
470,1405
471,1409
472,1410
473,1412
474,1413
475,1421
476,1423
477,1432
478,1435
479,1443
480,1444
481,1446
482,1447
483,1448
484,1451
485,1460
486,1463
487,1464
488,1466
489,1467
490,1468
491,1475
492,1484
493,1489
494,1491
495,1492
496,1495
497,1496
498,1498
499,1499
500,1503
501,1504
502,1506
503,1507
504,1510
505,1511
506,1512
507,1514
508,1519
509,1526
510,1530
511,1533
512,1535
513,1538
514,1544
515,1547
516,1548
517,1549
518,1550
519,1554
520,1556
521,1558
522,1559
523,1561
524,1562
525,1567
526,1569
527,1570
528,1571
529,1580
530,1582
531,1584
532,1585
533,1586
534,1587
535,1588
536,1591
537,1601
538,1602
539,1603
540,1606
541,1619
542,1620
543,1631
544,1632
545,1634
546,1638
547,1639
548,1641
549,1642
550,1643
551,1646
552,1652
553,1661
554,1668
555,1672
556,1674
557,1680
558,1681
559,1682
560,1684
561,1685
562,1686
563,1689
564,1693
565,1697
566,1700
567,1701
568,1704
569,1705
570,1706
571,1714
572,1715
573,1719
574,1720
575,1721
576,1722
577,1724
578,1727
579,1730
580,1735
581,1737
582,1738
583,1744
584,1745
585,1747
586,1749
587,1750
588,1754
589,1755
590,1757
591,1760
592,1761
593,1769
594,1774
595,1775
596,1777
597,1780
598,1782
599,1786
600,1788
601,1793
602,1796
603,1805
604,1810
605,1812
606,1815
607,1816
608,1818
609,1819
610,1825
611,1827
612,1828
613,1829
614,1839
615,1850
616,1853
617,1854
618,1863
619,1864
620,1875
621,1876
622,1877
623,1879
624,1880
625,1885
626,1891
627,1892
628,1898
629,1899
630,1900
631,1904
632,1905
633,1907
634,1908
635,1913
636,1915
637,1916
638,1918
639,1923
640,1930
641,1936
642,1937
643,1939
644,1948
645,1949
646,1962
647,1967
648,1973
649,1974
650,1978
651,1981
652,1982
653,1994
654,1998
655,1999
656,2000
657,2005
658,2006
659,2008
660,2012
661,2014
662,2015
663,2016
664,2018
665,2019
666,2020
667,2021
668,2022
669,2034
670,2036
671,2037
672,2038
673,2040
674,2042
675,2050
676,2052
677,2053
678,2055
679,2056
680,2057
681,2060
682,2061
683,2063
684,2064
685,2065
686,2066
687,2069
688,2076
689,2088
690,2099
691,2100
692,2101
693,2105
694,2106
695,2115
696,2118
697,2124
698,2129
699,2133
700,2135
701,2136
702,2140
703,2142
704,2145
705,2147
706,2152
707,2153
708,2154
709,2158
710,2160
711,2161
712,2162
713,2164
714,2165
715,2166
716,2170
717,2171
718,2172
719,2173
720,2179
721,2180
722,2184
723,2186
724,2187
725,2190
726,2192
727,2195
728,2196
729,2197
730,2198
731,2203
732,2216
733,2218
734,2225
735,2227
736,2230
737,2231
738,2236
739,2245
740,2250
741,2252
742,2253
743,2261
744,2262
745,2267
746,2268
747,2270
748,2277
749,2278
750,2280
751,2284
752,2286
753,2289
754,2294
755,2295
756,2296
757,2298
758,2301
759,2304
760,2305
761,2306
762,2307
763,2311
764,2317
765,2318
766,2320
767,2322
768,2326
769,2329
770,2330
771,2331
772,2332
773,2336
774,2337
775,2340
776,2343
777,2344
778,2345
779,2346
780,2351
781,2360
782,2361
783,2364
784,2365
785,2366
786,2370
787,2371
788,2372
789,2377
790,2379
791,2381
792,2393
793,2396
794,2398
795,2399
796,2400
797,2401
798,2413
799,2414
800,2419
801,2426
802,2428
803,2429
804,2434
805,2436
806,2437
807,2439
808,2442
809,2445
810,2446
811,2448
812,2451
813,2453
814,2456
815,2458
816,2460
817,2464
818,2467
819,2468
820,2472
821,2476
822,2480
823,2481
824,2486
825,2487
826,2492
827,2493
828,2503
829,2507
830,2512
831,2514
832,2521
833,2522
834,2523
835,2526
836,2527
837,2528
838,2529
