,idx
0,7
1,8
2,9
3,11
4,12
5,13
6,14
7,15
8,16
9,17
10,18
11,19
12,20
13,21
14,22
15,23
16,29
17,32
18,33
19,39
20,40
21,42
22,46
23,49
24,61
25,63
26,66
27,75
28,87
29,88
30,93
31,94
32,106
33,120
34,127
35,138
36,140
37,142
38,148
39,163
40,167
41,177
42,178
43,179
44,180
45,181
46,195
47,210
48,225
49,231
50,233
51,238
52,242
53,245
54,247
55,253
56,260
57,261
58,264
59,277
60,278
61,281
62,282
63,284
64,288
65,295
66,296
67,297
68,299
69,309
70,311
71,312
72,314
73,326
74,329
75,338
76,346
77,356
78,357
79,372
80,373
81,376
82,381
83,382
84,383
85,385
86,387
87,388
88,400
89,422
90,427
91,428
92,429
93,431
94,433
95,434
96,441
97,442
98,444
99,448
100,449
101,450
102,453
103,471
104,473
105,474
106,479
107,490
108,492
109,497
110,502
111,510
112,513
113,516
114,517
115,518
116,528
117,536
118,540
119,544
120,546
121,547
122,551
123,556
124,562
125,565
126,586
127,591
128,609
129,617
130,620
131,622
132,623
133,624
134,627
135,633
136,638
137,639
138,641
139,650
140,653
141,662
142,665
143,668
144,671
145,680
146,683
147,685
148,691
149,695
150,696
151,702
152,711
153,716
154,717
155,719
156,720
157,721
158,723
159,726
160,727
161,728
162,729
163,734
164,735
165,736
166,737
167,738
168,739
169,742
170,749
171,750
172,751
173,752
174,753
175,756
176,758
177,761
178,762
179,775
180,776
181,778
182,779
183,782
184,790
185,791
186,792
187,796
188,797
189,801
190,803
191,816
192,821
193,830
194,831
195,838
196,845
197,852
198,853
199,855
200,856
201,860
202,861
203,862
204,874
205,877
206,889
207,893
208,894
209,895
210,897
211,906
212,909
213,910
214,911
215,912
216,913
217,914
218,918
219,925
220,927
221,931
222,937
223,944
224,947
225,951
226,955
227,973
228,985
229,986
230,992
231,995
232,1006
233,1007
234,1008
235,1009
236,1010
237,1011
238,1012
239,1016
240,1018
241,1024
242,1028
243,1029
244,1030
245,1033
246,1034
247,1035
248,1036
249,1037
250,1040
251,1051
252,1052
253,1053
254,1057
255,1061
256,1068
257,1071
258,1081
259,1089
260,1120
261,1128
262,1142
263,1150
264,1153
265,1158
266,1162
267,1164
268,1173
269,1175
270,1177
271,1178
272,1181
273,1184
274,1196
275,1197
276,1198
277,1207
278,1208
279,1215
280,1218
281,1221
282,1230
283,1233
284,1247
285,1252
286,1253
287,1258
288,1262
289,1268
290,1269
291,1275
292,1277
293,1294
294,1297
295,1299
296,1302
297,1306
298,1309
299,1310
300,1311
301,1326
302,1328
303,1337
304,1338
305,1339
306,1340
307,1341
308,1342
309,1343
310,1344
311,1347
312,1348
313,1349
314,1350
315,1352
316,1357
317,1360
318,1363
319,1381
320,1404
321,1405
322,1412
323,1428
324,1434
325,1440
326,1449
327,1452
328,1466
329,1483
330,1489
331,1490
332,1492
333,1495
334,1496
335,1510
336,1511
337,1513
338,1514
339,1517
340,1521
341,1523
342,1530
343,1535
344,1536
345,1539
346,1540
347,1541
348,1542
349,1543
350,1557
351,1574
352,1579
353,1583
354,1589
355,1591
356,1593
357,1597
358,1599
359,1600
360,1601
361,1603
362,1604
363,1606
364,1610
365,1615
366,1616
367,1622
368,1623
369,1624
370,1627
371,1628
372,1629
373,1633
374,1640
375,1649
376,1650
377,1654
378,1676
379,1679
380,1681
381,1682
382,1683
383,1684
384,1690
385,1693
386,1708
387,1712
388,1725
389,1729
390,1741
391,1746
392,1750
393,1751
394,1762
395,1764
396,1777
397,1778
398,1779
399,1783
400,1785
401,1791
402,1792
403,1794
404,1803
405,1804
406,1806
407,1811
408,1815
409,1823
410,1824
