,idx
0,72
1,93
2,95
3,108
4,123
5,152
6,153
7,160
8,166
9,191
10,207
11,224
12,228
13,234
14,263
15,271
16,273
17,321
18,324
19,328
20,332
21,348
22,386
23,447
24,455
25,489
26,537
27,543
28,545
29,549
30,556
31,595
32,648
33,654
34,657
35,658
36,673
37,675
38,683
39,695
40,745
41,759
42,772
43,786
44,787
45,795
46,804
47,819
48,858
49,859
50,880
51,908
52,921
53,922
54,954
55,962
56,980
57,982
58,984
59,1003
60,1084
61,1085
62,1094
63,1097
64,1104
65,1132
66,1147
67,1148
68,1159
69,1160
70,1198
71,1239
72,1268
73,1274
74,1293
75,1321
76,1328
77,1346
78,1376
79,1398
80,1455
81,1456
82,1463
83,1464
84,1467
85,1468
86,1471
87,1491
88,1494
89,1504
90,1524
91,1559
92,1570
93,1571
94,1584
95,1642
96,1655
97,1676
98,1708
99,1728
100,1738
101,1741
102,1746
103,1750
104,1764
105,1795
106,1803
107,1821
108,1831
109,1853
110,1854
111,1867
112,1936
113,1937
114,1939
115,1974
116,2017
117,2033
118,2035
119,2059
120,2082
121,2086
122,2090
123,2100
124,2119
125,2120
126,2133
127,2145
128,2160
129,2171
130,2173
131,2179
132,2225
133,2236
134,2256
135,2289
136,2338
137,2344
138,2345
139,2346
140,2351
141,2352
142,2356
143,2357
144,2361
145,2429
146,2434
147,2437
148,2438
149,2441
150,2464
151,2486
152,2507
153,2512
154,2525
155,2548
156,2549
157,2552
158,2563
159,2566
160,2574
161,2626
162,2642
163,2656
164,2670
165,2676
166,2720
167,2727
168,2737
169,2738
170,2739
171,2777
172,2785
173,2805
174,2824
175,2850
176,2854
177,2855
178,2920
179,2921
180,2935
181,2955
182,3005
183,3014
184,3015
185,3021
186,3023
187,3024
188,3025
189,3028
190,3031
191,3041
192,3077
193,3093
194,3094
195,3150
196,3152
197,3155
198,3162
199,3216
200,3218
201,3219
202,3232
203,3272
204,3281
205,3292
206,3297
207,3300
208,3364
209,3369
210,3388
211,3394
212,3396
213,3398
214,3414
215,3422
216,3471
217,3511
218,3514
219,3520
220,3533
221,3579
222,3580
223,3606
224,3609
225,3610
226,3611
227,3614
228,3618
229,3622
230,3666
231,3679
232,3693
233,3704
234,3712
235,3717
236,3748
237,3799
238,3802
239,3816
240,3828
241,3839
242,3856
243,3859
244,3873
245,3874
246,3887
247,3890
248,3906
249,3923
250,3935
251,3967
252,4015
253,4022
254,4035
255,4037
256,4064
257,4076
258,4109
259,4121
260,4197
261,4201
262,4211
263,4233
264,4234
265,4242
266,4254
267,4264
268,4274
269,4280
270,4330
271,4360
272,4366
273,4380
274,4382
275,4387
276,4388
277,4391
278,4392
279,4477
280,4497
281,4508
282,4523
283,4533
284,4538
285,4543
286,4552
287,4575
288,4587
289,4613
290,4614
291,4619
292,4680
293,4710
294,4711
295,4729
296,4778
297,4779
298,4780
299,4800
300,4803
301,4805
302,4809
303,4810
304,4811
305,4816
306,4819
307,4820
308,4822
309,4823
310,4838
311,4839
312,4840
313,4841
314,4842
315,4843
316,4844
317,4845
318,4874
319,4877
320,4878
321,4884
322,4889
323,4890
324,4939
325,4952
326,4954
327,4956
328,4959
329,4964
330,4965
331,4966
332,4974
333,4975
334,4976
335,5009
336,5031
337,5042
338,5049
339,5050
340,5052
341,5057
342,5130
343,5131
344,5138
345,5155
346,5189
347,5190
348,5192
349,5193
350,5234
351,5235
352,5236
353,5241
354,5242
355,5260
356,5261
357,5262
358,5265
359,5266
360,5267
361,5295
362,5325
363,5326
364,5333
365,5337
366,5341
367,5356
368,5379
369,5380
370,5381
371,5420
372,5439
373,5440
374,5480
375,5486
376,5487
377,5523
378,5532
379,5562
380,5585
381,5590
382,5605
383,5606
384,5608
385,5609
386,5624
387,5625
388,5641
389,5642
390,5682
391,5707
392,5725
393,5729
394,5730
395,5747
396,5786
397,5787
398,5788
399,5840
400,5862
401,5865
402,5868
403,5901
404,5902
405,5937
406,5954
407,5955
408,5960
409,5961
410,5962
411,5967
412,5968
413,5969
414,6007
415,6035
416,6037
417,6038
418,6064
419,6087
420,6092
421,6118
422,6149
423,6151
424,6159
425,6267
426,6269
427,6270
428,6301
429,6314
430,6315
431,6331
432,6334
433,6385
434,6389
435,6395
436,6412
437,6413
438,6414
439,6427
440,6467
441,6475
442,6569
443,6578
444,6686
445,6690
446,6692
447,6693
448,6696
449,6715
450,6739
451,6796
452,6827
453,6828
454,6831
455,6845
456,6884
457,6885
458,6889
459,6890
460,6891
461,6923
462,6944
463,6956
464,7003
465,7007
466,7010
467,7128
468,7136
469,7143
470,7184
471,7185
472,7186
473,7192
474,7198
475,7203
476,7204
477,7212
478,7252
479,7253
480,7305
481,7317
482,7318
483,7319
484,7320
485,7402
486,7413
487,7414
488,7458
489,7571
490,7604
