,idx
0,1
1,5
2,50
3,71
4,91
5,147
6,156
7,168
8,169
9,244
10,280
11,284
12,286
13,301
14,316
15,365
16,374
17,381
18,387
19,423
20,432
21,445
22,468
23,524
24,550
25,560
26,562
27,563
28,637
29,677
30,688
31,694
32,697
33,699
34,703
35,709
36,710
37,803
38,902
39,937
40,942
41,944
42,960
43,963
44,985
45,1023
46,1060
47,1096
48,1110
49,1121
50,1125
51,1141
52,1160
53,1211
54,1260
55,1276
56,1306
57,1335
58,1353
59,1374
60,1393
61,1411
62,1419
63,1421
64,1429
65,1465
66,1469
67,1500
68,1503
69,1521
70,1561
71,1583
72,1621
73,1625
74,1642
75,1645
76,1655
77,1656
78,1694
79,1726
80,1739
81,1751
82,1755
83,1768
84,1800
85,1810
86,1812
87,1877
88,1906
89,1921
90,1942
91,1944
92,1971
93,1977
94,1980
95,1997
96,2001
97,2009
98,2010
99,2036
100,2157
101,2170
102,2196
103,2203
104,2264
105,2288
106,2310
107,2323
108,2327
109,2332
110,2341
111,2348
112,2358
113,2377
114,2381
115,2399
116,2408
117,2410
118,2443
119,2472
120,2548
121,2550
122,2690
123,2695
124,2698
125,2727
126,2748
127,2768
128,2805
129,2821
130,2861
131,2867
132,2888
133,2935
134,2936
135,2970
136,2984
137,2985
138,2989
139,3004
140,3026
141,3027
142,3032
143,3082
144,3088
145,3129
146,3146
147,3160
148,3161
149,3164
150,3167
151,3171
152,3213
153,3214
154,3244
155,3245
156,3250
157,3291
158,3292
159,3296
160,3300
161,3310
162,3338
163,3355
164,3358
165,3359
166,3383
167,3385
168,3390
169,3428
170,3430
171,3465
172,3478
173,3493
174,3498
175,3499
176,3521
177,3540
178,3580
179,3582
180,3588
181,3589
182,3597
183,3606
184,3616
185,3633
186,3645
187,3666
188,3673
189,3696
190,3722
191,3796
192,3797
193,3809
194,3843
195,3868
196,3874
197,3907
198,3941
199,3957
200,3971
201,3984
202,3985
203,3986
204,3988
205,3991
206,3992
207,3993
208,3996
209,4013
210,4014
211,4016
212,4049
213,4087
214,4139
215,4167
216,4226
217,4227
218,4231
219,4234
220,4236
221,4238
222,4239
223,4245
224,4259
225,4263
226,4281
227,4284
228,4287
229,4298
230,4317
231,4383
232,4384
233,4389
234,4390
235,4660
236,4670
237,4671
238,4672
239,4683
240,4824
241,4859
242,4860
243,4861
244,4896
245,4897
246,4914
247,4917
248,4922
249,4944
250,4955
251,4983
252,4988
253,4989
254,4992
255,4997
256,5008
257,5009
258,5010
259,5110
260,5156
261,5172
262,5173
263,5187
264,5195
265,5223
266,5228
267,5237
268,5269
269,5280
270,5282
271,5284
272,5288
273,5290
274,5297
275,5298
276,5315
277,5316
278,5317
279,5318
280,5319
281,5320
282,5321
283,5322
284,5330
285,5411
286,5415
287,5467
288,5484
289,5493
290,5509
291,5535
292,5536
293,5543
294,5555
295,5565
296,5570
297,5580
298,5603
299,5604
300,5645
301,5724
302,5760
303,5783
304,5831
305,5842
306,5856
307,5869
308,5870
309,5914
310,5929
311,5931
312,5938
313,5943
314,5957
315,5958
316,6039
317,6041
318,6055
319,6069
320,6121
321,6161
322,6201
323,6258
324,6386
325,6458
326,6460
327,6517
328,6521
329,6527
330,6539
331,6594
332,6596
333,6605
334,6606
335,6616
336,6623
337,6625
338,6632
339,6797
340,6798
341,6799
342,6840
343,6883
344,6886
345,6913
346,6967
347,6986
348,6988
349,6990
350,6991
351,7025
352,7058
353,7060
354,7156
355,7157
356,7158
357,7197
358,7199
359,7220
360,7222
361,7223
362,7255
363,7256
364,7363
365,7364
366,7386
367,7388
368,7398
369,7399
370,7431
371,7461
372,7488
373,7491
374,7523
375,7533
376,7562
377,7564
378,7673
379,7674
380,7697
381,7710
382,7712
383,7713
384,7714
385,7745
386,7776
387,7777
