,idx
0,2
1,4
2,9
3,12
4,29
5,35
6,36
7,40
8,41
9,43
10,44
11,45
12,46
13,48
14,51
15,52
16,53
17,55
18,57
19,60
20,66
21,67
22,69
23,73
24,74
25,76
26,77
27,80
28,81
29,91
30,97
31,109
32,110
33,111
34,112
35,113
36,121
37,136
38,137
39,138
40,139
41,144
42,157
43,158
44,162
45,177
46,180
47,187
48,191
49,193
50,205
51,209
52,213
53,219
54,226
55,232
56,243
57,248
58,249
59,257
60,261
61,262
62,274
63,291
64,296
65,299
66,300
67,303
68,304
69,322
70,324
71,331
72,334
73,336
74,337
75,363
76,389
77,390
78,398
79,404
80,405
81,418
82,420
83,422
84,424
85,425
86,428
87,429
88,431
89,445
90,448
91,449
92,450
93,453
94,456
95,480
96,487
97,489
98,493
99,501
100,509
101,516
102,517
103,518
104,525
105,528
106,531
107,533
108,545
109,561
110,564
111,566
112,567
113,568
114,574
115,576
116,577
117,595
118,605
119,610
120,613
121,618
122,619
123,623
124,628
125,630
126,637
127,640
128,643
129,645
130,649
131,652
132,663
133,667
134,669
135,670
136,672
137,675
138,681
139,688
140,699
141,703
142,708
143,710
144,716
145,720
146,724
147,725
148,735
149,742
150,746
151,748
152,750
153,753
154,757
155,761
156,762
157,763
158,770
159,780
160,782
161,785
162,791
163,794
164,796
165,798
166,807
167,813
168,817
169,826
170,827
171,832
172,834
173,838
174,843
175,846
176,848
177,855
178,860
179,867
180,874
181,875
182,877
183,880
184,881
185,892
186,893
187,901
188,912
189,913
190,914
191,917
192,927
193,936
194,938
195,940
196,958
197,967
198,968
199,974
200,981
201,986
202,994
203,1002
204,1003
205,1023
206,1030
207,1031
208,1034
209,1064
210,1067
211,1072
212,1074
213,1079
214,1092
215,1094
216,1096
217,1100
218,1104
219,1106
220,1108
221,1121
222,1135
223,1137
224,1142
225,1151
226,1152
227,1155
228,1181
229,1187
230,1193
231,1194
232,1204
233,1211
234,1227
235,1234
236,1236
237,1238
238,1239
239,1241
240,1243
241,1260
242,1265
243,1274
244,1282
245,1283
246,1284
247,1285
248,1287
249,1302
250,1305
251,1308
252,1325
253,1326
254,1347
255,1350
256,1355
257,1363
258,1366
259,1367
260,1368
261,1369
262,1373
263,1374
264,1379
265,1394
266,1398
267,1399
268,1402
269,1405
270,1413
271,1421
272,1423
273,1432
274,1435
275,1443
276,1444
277,1451
278,1460
279,1466
280,1475
281,1484
282,1489
283,1491
284,1492
285,1496
286,1499
287,1503
288,1504
289,1506
290,1507
291,1510
292,1511
293,1514
294,1533
295,1535
296,1538
297,1544
298,1547
299,1548
300,1550
301,1554
302,1556
303,1567
304,1580
305,1584
306,1587
307,1591
308,1601
309,1602
310,1603
311,1631
312,1642
313,1652
314,1668
315,1672
316,1674
317,1680
318,1682
319,1684
320,1693
321,1697
322,1700
323,1701
324,1704
325,1705
326,1706
327,1720
328,1727
329,1730
330,1735
331,1744
332,1749
333,1754
334,1757
335,1761
336,1769
337,1780
338,1782
339,1796
340,1812
341,1815
342,1816
343,1819
344,1825
345,1827
346,1828
347,1829
348,1863
349,1864
350,1880
351,1885
352,1898
353,1900
354,1904
355,1907
356,1913
357,1915
358,1918
359,1930
360,1936
361,1939
362,1949
363,1962
364,1967
365,1978
366,2006
367,2012
368,2022
369,2034
370,2042
371,2050
372,2052
373,2053
374,2055
375,2065
376,2066
377,2069
378,2076
379,2088
380,2099
381,2115
382,2124
383,2135
384,2153
385,2154
386,2160
387,2162
388,2164
389,2165
390,2166
391,2179
392,2180
393,2190
394,2192
395,2196
396,2203
397,2216
398,2218
399,2245
400,2252
401,2253
402,2261
403,2267
404,2270
405,2277
406,2278
407,2280
408,2284
409,2286
410,2289
411,2294
412,2295
413,2298
414,2305
415,2306
416,2311
417,2317
418,2318
419,2320
420,2329
421,2332
422,2340
423,2345
424,2351
425,2360
426,2361
427,2364
428,2365
429,2366
430,2370
431,2372
432,2377
433,2379
434,2381
435,2399
436,2400
437,2413
438,2419
439,2426
440,2436
441,2439
442,2445
443,2448
444,2460
445,2467
446,2468
447,2476
448,2486
449,2487
450,2507
451,2514
452,2522
453,2526
454,2527
455,2530
456,2537
457,2542
458,2545
459,2547
460,2552
461,2571
462,2572
463,2576
464,2577
465,2578
466,2586
467,2593
468,2624
469,2648
470,2657
471,2658
472,2665
473,2671
474,2681
475,2701
476,2707
477,2708
478,2719
479,2720
480,2726
481,2739
482,2744
483,2745
484,2766
485,2776
486,2778
487,2785
488,2786
489,2794
490,2795
491,2825
492,2826
493,2830
494,2847
495,2853
496,2878
497,2884
498,2889
499,2892
500,2893
501,2896
502,2901
503,2906
504,2907
505,2910
506,2918
507,2925
508,2947
509,2987
510,2992
511,3003
512,3005
513,3006
514,3009
515,3024
516,3032
517,3040
518,3041
519,3055
520,3074
521,3076
522,3081
523,3082
524,3094
525,3101
526,3103
527,3110
528,3121
529,3122
530,3130
531,3138
532,3142
533,3146
534,3150
535,3152
536,3158
537,3160
538,3161
539,3162
540,3163
541,3171
542,3174
543,3176
544,3177
545,3207
546,3213
547,3216
548,3219
549,3224
550,3228
551,3240
552,3243
553,3246
554,3249
555,3250
556,3251
557,3263
558,3294
559,3296
560,3297
561,3305
562,3306
563,3309
564,3316
565,3317
566,3318
567,3326
568,3327
569,3328
570,3343
571,3355
572,3363
573,3378
574,3383
575,3384
576,3392
577,3394
578,3395
579,3397
580,3399
581,3408
582,3410
583,3411
584,3414
585,3417
586,3418
587,3421
588,3427
589,3428
590,3432
591,3438
592,3443
593,3444
594,3447
595,3449
596,3450
597,3451
598,3475
599,3476
600,3477
601,3489
602,3495
603,3498
604,3499
605,3503
606,3506
607,3515
608,3516
609,3519
610,3525
611,3527
612,3533
613,3537
614,3538
615,3567
616,3569
617,3574
618,3577
619,3582
620,3583
621,3596
622,3617
623,3624
624,3625
625,3628
626,3632
627,3635
628,3636
629,3640
630,3645
631,3648
632,3659
633,3663
634,3680
635,3697
636,3700
637,3705
638,3708
639,3711
640,3724
641,3725
642,3728
643,3730
644,3734
645,3736
646,3739
647,3740
648,3741
649,3742
650,3776
651,3779
652,3782
653,3786
654,3795
655,3796
656,3797
657,3798
658,3799
659,3801
660,3811
661,3812
662,3818
663,3819
664,3825
665,3826
666,3827
667,3835
668,3844
669,3847
670,3855
671,3862
672,3866
673,3868
674,3873
675,3894
676,3896
677,3897
678,3934
679,3936
680,3937
681,3961
682,3967
683,3968
684,3996
685,3999
686,4006
687,4007
688,4012
689,4013
690,4017
691,4018
692,4029
693,4032
694,4033
695,4034
696,4035
697,4036
698,4038
699,4049
700,4051
701,4053
702,4062
703,4063
704,4069
705,4071
706,4077
707,4079
708,4088
709,4091
710,4092
711,4096
712,4098
713,4103
714,4105
715,4113
716,4117
717,4118
718,4124
719,4127
720,4133
721,4141
722,4144
723,4157
724,4165
725,4172
726,4192
727,4194
728,4195
729,4198
730,4209
731,4210
732,4213
733,4214
734,4215
735,4217
736,4219
737,4224
738,4250
739,4251
740,4252
741,4253
742,4255
743,4257
744,4261
745,4268
746,4273
747,4282
748,4283
749,4285
750,4289
751,4292
752,4294
753,4297
754,4299
755,4300
756,4302
757,4308
758,4309
759,4310
760,4314
761,4315
762,4316
763,4319
764,4322
765,4324
766,4325
767,4328
768,4335
769,4344
770,4345
771,4346
772,4356
773,4361
774,4362
775,4363
776,4364
777,4365
778,4368
779,4369
780,4370
781,4372
782,4376
783,4379
784,4381
785,4388
786,4404
787,4415
788,4417
789,4418
790,4432
791,4435
792,4436
793,4437
794,4438
795,4439
796,4440
797,4441
798,4442
799,4443
800,4444
801,4445
802,4451
803,4452
804,4453
805,4454
806,4455
807,4456
808,4457
809,4458
